Distance,Depth
0,92
1,99
2,97
3,81
4,91
5,82
6,78
7,79
8,62
9,74
10,70
11,62
12,71
13,78
14,60
15,79
16,82
17,72
18,63
19,88
20,90
21,81
22,93
23,65
24,79
25,63
26,97
27,104
28,86
29,85
30,78
